Maanlander {hoogte = 500.0, snelheid = 0.0, brandstof = 500.0, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 0.0}
Maanlander {hoogte = 196.72, snelheid = 10.0, brandstof = 417.5, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 186.72, snelheid = 10.0, brandstof = 413.8, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 176.72, snelheid = 10.0, brandstof = 410.1, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 166.72, snelheid = 10.0, brandstof = 406.4, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 156.72, snelheid = 10.0, brandstof = 402.7, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 146.72, snelheid = 10.0, brandstof = 399.0, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 136.72, snelheid = 10.0, brandstof = 395.3, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 126.72, snelheid = 10.0, brandstof = 391.6, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 116.72, snelheid = 10.0, brandstof = 387.9, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 106.72, snelheid = 10.0, brandstof = 384.2, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 96.72, snelheid = 10.0, brandstof = 380.5, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 91.72, snelheid = 5.0, brandstof = 371.8, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 8.7}
Maanlander {hoogte = 86.72, snelheid = 5.0, brandstof = 368.1, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 81.72, snelheid = 5.0, brandstof = 364.4, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 76.72, snelheid = 5.0, brandstof = 360.7, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 71.72, snelheid = 5.0, brandstof = 357.0, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 66.72, snelheid = 5.0, brandstof = 353.3, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 61.72, snelheid = 5.0, brandstof = 349.6, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 56.72, snelheid = 5.0, brandstof = 345.9, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 51.72, snelheid = 5.0, brandstof = 342.2, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 46.72, snelheid = 5.0, brandstof = 338.5, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 41.72, snelheid = 5.0, brandstof = 334.8, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 36.72, snelheid = 5.0, brandstof = 331.1, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 31.72, snelheid = 5.0, brandstof = 327.4, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 26.72, snelheid = 5.0, brandstof = 323.7, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 24.72, snelheid = 2.0, brandstof = 317.0, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 6.7}
Maanlander {hoogte = 22.72, snelheid = 2.0, brandstof = 313.3, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 20.72, snelheid = 2.0, brandstof = 309.6, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 18.72, snelheid = 2.0, brandstof = 305.9, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 16.72, snelheid = 2.0, brandstof = 302.2, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 14.72, snelheid = 2.0, brandstof = 298.5, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 12.72, snelheid = 2.0, brandstof = 294.8, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 10.72, snelheid = 2.0, brandstof = 291.1, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 8.72, snelheid = 2.0, brandstof = 287.4, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 6.72, snelheid = 2.0, brandstof = 283.7, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 4.72, snelheid = 2.0, brandstof = 280.0, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 2.72, snelheid = 2.0, brandstof = 276.3, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 0.72, snelheid = 2.0, brandstof = 272.6, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 0.0, snelheid = 2.0, brandstof = 268.9, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}

✅ Success: Landed safely!
